product_key,current_brand,product_name,extracted_brand,suggested_correction,product_url
155444|iams_advanced_nutrition_adult_large_dog_chicken|dry,155444,IAMS Advanced Nutrition Adult Large Dog - Chicken,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/adult/414500?activeVariant=414500.4
155444|iams_advanced_nutrition_puppy_junior_large_dog_chicken|dry,155444,IAMS Advanced Nutrition Puppy & Junior Large Dog - Chicken,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/puppy/414641?activeVariant=414641.9
155444|iams_advanced_nutrition_puppy_junior_small_medium_dog_chicken|dry,155444,IAMS Advanced Nutrition Puppy & Junior Small & Medium Dog - Chicken,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/puppy/414642?activeVariant=414642.9
155444|iams_advanced_nutrition_senior_small_medium_dog_8_with_chicken|dry,155444,IAMS Advanced Nutrition Senior Small & Medium Dog 8+ with Chicken,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/senior/414502?activeVariant=414502.7
155444|iams_advanced_nutrition_senior_large_dog_7_with_chicken|dry,155444,IAMS Advanced Nutrition Senior Large Dog 7+ with Chicken,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/senior/704740?activeVariant=704740.1
155444|12kg_iams_advanced_nutrition_dry_dog_food_10kg_2kg_free_|dry,155444,12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! *,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/853523?activeVariant=853523.12
155444|iams_advanced_nutrition_adult_large_dog_lamb|dry,155444,IAMS Advanced Nutrition Adult Large Dog - Lamb,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/adult/2145990?activeVariant=2145990.0
155444|iams_advanced_nutrition_adult_small_medium_dog_lamb|dry,155444,IAMS Advanced Nutrition Adult Small & Medium Dog - Lamb,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/adult/2146216?activeVariant=2146216.0
155444|iams_advanced_nutrition_sensitive_digestion_with_turkey|dry,155444,IAMS Advanced Nutrition Sensitive Digestion with Turkey,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/adult/2281334?activeVariant=2281334.0
155444|iams_advanced_nutrition_weight_control_chicken|dry,155444,IAMS Advanced Nutrition Weight Control - Chicken,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/adult/414501?activeVariant=414501.5
155444|iams_advanced_nutrition_adult_small_medium_dog_chicken|dry,155444,IAMS Advanced Nutrition Adult Small & Medium Dog - Chicken,IAMS,IAMS,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/adult/414640?activeVariant=414640.7
ci|tickety_boo_large_breed_puppy|unknown,Ci,Tickety Boo Large Breed Puppy,Tickety Boo,Tickety Boo,https://petfoodexpert.com/food/ci-tickety-boo-large-breed-puppy
go|nativepuppy|dry,Go,Native Puppy,Native,Native,https://www.allaboutdogfood.co.uk/dog-food-reviews/2314/go-native-puppy
ci|bells__whistles_chicken_dinner_small_bite/puppy|unknown,Ci,Bells  Whistles Chicken Dinner Small Bite/Puppy,Bells  Whistles Chicken Dinner,Tickety Boo,https://petfoodexpert.com/food/ci-bells-whistles-chicken-dinner-small-bite-puppy
ci|bells__whistles_duck_dinner|unknown,Ci,Bells  Whistles Duck Dinner,Bells  Whistles,Tickety Boo,https://petfoodexpert.com/food/ci-bells-whistles-duck-dinner
ci|bells__whistles_lamb_dinner|unknown,Ci,Bells  Whistles Lamb Dinner,Bells  Whistles,Tickety Boo,https://petfoodexpert.com/food/ci-bells-whistles-lamb-dinner
ci|farmland_feast|unknown,Ci,Farmland Feast,Farmland,Tickety Boo,https://petfoodexpert.com/food/ci-farmland-feast
ci|happy_go_lightly_fish__rice|unknown,Ci,Happy Go Lightly Fish  Rice,Happy Go,Tickety Boo,https://petfoodexpert.com/food/ci-happy-go-lightly-fish-rice
ci|happy_go_lightly_lamb__rice|unknown,Ci,Happy Go Lightly Lamb  Rice,Happy Go,Tickety Boo,https://petfoodexpert.com/food/ci-happy-go-lightly-lamb-rice
"ci|tickets_boo_chicken,_sweet_potato__herbs|unknown",Ci,"Tickets Boo Chicken, Sweet Potato  Herbs",Tickets Boo,Tickety Boo,https://petfoodexpert.com/food/ci-tickets-boo-chicken-sweet-potato-herbs
"ci|tickety_boo_angus_beef,_sweet_potato__carrot|unknown",Ci,"Tickety Boo Angus Beef, Sweet Potato  Carrot",Tickety Boo,Tickety Boo,https://petfoodexpert.com/food/ci-tickety-boo-angus-beef-sweet-potato-carrot
"ci|tickety_boo_duck,_sweet_potato,__orange|unknown",Ci,"Tickety Boo Duck, Sweet Potato,  Orange",Tickety Boo,Tickety Boo,https://petfoodexpert.com/food/ci-tickety-boo-duck-sweet-potato-orange
"ci|tickety_boo_lamb,_sweet_potato__mint|unknown",Ci,"Tickety Boo Lamb, Sweet Potato  Mint",Tickety Boo,Tickety Boo,https://petfoodexpert.com/food/ci-tickety-boo-lamb-sweet-potato-mint
