brand,products,allergen_cov_after,price_bucket_improvement,notes
Brit,73,100.0,0.0,High impact
Alpha,53,100.0,0.0,High impact
Briantos,46,100.0,0.0,High impact
Belcando,34,100.0,0.0,High impact
Bozita,34,100.0,0.0,High impact
Barking,33,100.0,0.0,High impact
Acana,32,100.0,0.0,High impact
Arden,32,100.0,0.0,High impact
Applaws,31,100.0,0.0,High impact
Borders,29,100.0,0.0,High impact
Advance Veterinary Diets,26,100.0,0.0,High impact
Arion,26,100.0,0.0,High impact
bosch,26,100.0,0.0,High impact
Bright,25,100.0,0.0,High impact
BETTY,24,100.0,0.0,High impact
Bounce,20,100.0,0.0,High impact
Autarky,19,100.0,0.0,High impact
Ambrosia,18,100.0,0.0,High impact
Biofood,18,100.0,0.0,High impact
Aatu,16,100.0,0.0,High impact
Affinity,16,100.0,0.0,High impact
Browns,16,100.0,0.0,High impact
Aldi,15,100.0,0.0,High impact
Amazon,15,100.0,0.0,High impact
Bakers,15,100.0,0.0,High impact
Akela,14,100.0,0.0,High impact
Arden Grange,14,100.0,0.0,High impact
Benyfit,14,100.0,0.0,High impact
Almo Nature,13,100.0,0.0,High impact
ASDA,12,100.0,0.0,High impact
Beta,12,100.0,0.0,High impact
Burgess,12,100.0,0.0,High impact
4PAWSRAW,11,100.0,0.0,High impact
Billy,10,100.0,0.0,High impact
Aflora,9,100.0,0.0,High impact
Animonda,9,100.0,0.0,High impact
Bosch,9,100.0,0.0,High impact
Brigadiers,9,100.0,0.0,High impact
Buddy,9,100.0,0.0,High impact
Beco,8,100.0,0.0,High impact
Bentleys,8,100.0,0.0,High impact
Boost,8,100.0,0.0,High impact
AniForte,7,100.0,0.0,High impact
Arkwrights,7,100.0,0.0,High impact
Arquivet,7,100.0,0.0,High impact
Bear,7,100.0,0.0,High impact
4PAWS,6,100.0,0.0,High impact
Ami,6,100.0,0.0,High impact
BIG,6,100.0,0.0,High impact
BugBell,6,100.0,0.0,High impact
